predictor,bucket_id,bin_label,edge,n_events,alert_rate,target_alert_rate,relative_error_pct,point_idx,mapping_new_fit_month,eval_month,seed
p1,0,>= 0.2,0.2,150936,0.7006810833730853,0.7,0.09729762472648103,0,2,3,0
p1,1,>= 0.5,0.5,150936,0.39160306355011393,0.35,11.886589585746844,0,2,3,0
p1,2,>= 0.6,0.6,150936,0.15077251285312981,0.1,50.772512853129804,0,2,3,0
p1,3,>= 0.8,0.8,150936,0.08677850214660518,0.05,73.55700429321035,0,2,3,0
p1_5,0,>= 0.2,0.2,150936,0.2851009699475274,0.7,-59.27129000749608,0,2,3,0
p1_5,1,>= 0.5,0.5,150936,0.1799305665977633,0.35,-48.59126668635334,0,2,3,0
p1_5,2,>= 0.6,0.6,150936,0.09366221444850797,0.1,-6.337785551492031,0,2,3,0
p1_5,3,>= 0.8,0.8,150936,0.065325700959347,0.05,30.651401918694006,0,2,3,0
p2,0,>= 0.2,0.2,150936,0.719092860550167,0.7,2.7275515071667162,0,2,3,0
p2,1,>= 0.5,0.5,150936,0.40223670959877034,0.35,14.924774171077246,0,2,3,0
p2,2,>= 0.6,0.6,150936,0.14786399533577146,0.1,47.863995335771456,0,2,3,0
p2,3,>= 0.8,0.8,150936,0.08520830020671012,0.05,70.41660041342024,0,2,3,0
custom,0,>= 0.2,0.2,150936,0.7173172735464037,0.7,2.4738962209148254,0,2,3,0
custom,1,>= 0.5,0.5,150936,0.4001431070122436,0.35,14.326602003498175,0,2,3,0
custom,2,>= 0.6,0.6,150936,0.14939444532782106,0.1,49.39444532782106,0,2,3,0
custom,3,>= 0.8,0.8,150936,0.08675200084804155,0.05,73.5040016960831,0,2,3,0
default,0,>= 0.2,0.2,150936,0.7027216833624848,0.7,0.3888119089263993,0,2,3,0
default,1,>= 0.5,0.5,150936,0.390814649917846,0.35,11.661328547956002,0,2,3,0
default,2,>= 0.6,0.6,150936,0.14156993692690942,0.1,41.56993692690941,0,2,3,0
default,3,>= 0.8,0.8,150936,0.07957014893729793,0.05,59.140297874595845,0,2,3,0
raw,0,>= 0.2,0.2,150936,0.008785180473843218,0.7,-98.74497421802239,0,2,3,0
raw,1,>= 0.5,0.5,150936,0.0012256850585678698,0.35,-99.64980426898062,0,2,3,0
raw,2,>= 0.6,0.6,150936,0.0005764032437589442,0.1,-99.42359675624105,0,2,3,0
raw,3,>= 0.8,0.8,150936,0.00011263051889542588,0.05,-99.77473896220914,0,2,3,0
p1,0,>= 0.2,0.2,127691,0.7281249265805734,0.7,4.017846654367632,1,3,4,0
p1,1,>= 0.5,0.5,127691,0.41497051475828367,0.35,18.563004216652484,1,3,4,0
p1,2,>= 0.6,0.6,127691,0.15855463580048712,0.1,58.55463580048711,1,3,4,0
p1,3,>= 0.8,0.8,127691,0.09066418150065392,0.05,81.32836300130782,1,3,4,0
p1_5,0,>= 0.2,0.2,127691,0.3033808177553626,0.7,-56.65988317780535,1,3,4,0
p1_5,1,>= 0.5,0.5,127691,0.19018568262446062,0.35,-45.66123353586839,1,3,4,0
p1_5,2,>= 0.6,0.6,127691,0.09688231746951625,0.1,-3.1176825304837505,1,3,4,0
p1_5,3,>= 0.8,0.8,127691,0.06646513849840631,0.05,32.930276996812616,1,3,4,0
p2,0,>= 0.2,0.2,127691,0.7289707183748267,0.7,4.138674053546684,1,3,4,0
p2,1,>= 0.5,0.5,127691,0.37237550023102645,0.35,6.393000066007564,1,3,4,0
p2,2,>= 0.6,0.6,127691,0.10378961712258498,0.1,3.789617122584979,1,3,4,0
p2,3,>= 0.8,0.8,127691,0.050340274569076915,0.05,0.6805491381538242,1,3,4,0
custom,0,>= 0.2,0.2,127691,0.7399581802946175,0.7,5.708311470659645,1,3,4,0
custom,1,>= 0.5,0.5,127691,0.40681019022483966,0.35,16.231482921382767,1,3,4,0
custom,2,>= 0.6,0.6,127691,0.1351309019429717,0.1,35.13090194297169,1,3,4,0
custom,3,>= 0.8,0.8,127691,0.07134410412636756,0.05,42.688208252735116,1,3,4,0
default,0,>= 0.2,0.2,127691,0.7315394193795961,0.7,4.5056313399423065,1,3,4,0
default,1,>= 0.5,0.5,127691,0.4161843826111472,0.35,18.909823603184925,1,3,4,0
default,2,>= 0.6,0.6,127691,0.14884369297757868,0.1,48.84369297757868,1,3,4,0
default,3,>= 0.8,0.8,127691,0.08096107008324784,0.05,61.922140166495666,1,3,4,0
raw,0,>= 0.2,0.2,127691,0.007588631931772795,0.7,-98.91590972403245,1,3,4,0
raw,1,>= 0.5,0.5,127691,0.0009162744437744242,0.35,-99.73820730177874,1,3,4,0
raw,2,>= 0.6,0.6,127691,0.00047771573564307584,0.1,-99.52228426435693,1,3,4,0
raw,3,>= 0.8,0.8,127691,5.481983851641854e-05,0.05,-99.89036032296717,1,3,4,0
p1,0,>= 0.2,0.2,119323,0.6843274138263369,0.7,-2.2389408819518675,2,4,5,0
p1,1,>= 0.5,0.5,119323,0.35317583366157407,0.35,0.9073810461640257,2,4,5,0
p1,2,>= 0.6,0.6,119323,0.11321371403669032,0.1,13.21371403669032,2,4,5,0
p1,3,>= 0.8,0.8,119323,0.058421259941503316,0.05,16.842519883006627,2,4,5,0
p1_5,0,>= 0.2,0.2,119323,0.2439931949414614,0.7,-65.14382929407694,2,4,5,0
p1_5,1,>= 0.5,0.5,119323,0.13869916110054223,0.35,-60.37166825698793,2,4,5,0
p1_5,2,>= 0.6,0.6,119323,0.0621757749972763,0.1,-37.82422500272371,2,4,5,0
p1_5,3,>= 0.8,0.8,119323,0.04078844816171233,0.05,-18.423103676575348,2,4,5,0
p2,0,>= 0.2,0.2,119323,0.6635434911961651,0.7,-5.208072686262127,2,4,5,0
p2,1,>= 0.5,0.5,119323,0.2905139830543986,0.35,-16.996004841600403,2,4,5,0
p2,2,>= 0.6,0.6,119323,0.06439663769767773,0.1,-35.603362302322275,2,4,5,0
p2,3,>= 0.8,0.8,119323,0.029365671329081567,0.05,-41.26865734183687,2,4,5,0
custom,0,>= 0.2,0.2,119323,0.7003427671111185,0.7,0.0489667301597972,2,4,5,0
custom,1,>= 0.5,0.5,119323,0.33499828197413745,0.35,-4.286205150246438,2,4,5,0
custom,2,>= 0.6,0.6,119323,0.0846274398062402,0.1,-15.372560193759806,2,4,5,0
custom,3,>= 0.8,0.8,119323,0.039916864309479314,0.05,-20.16627138104138,2,4,5,0
default,0,>= 0.2,0.2,119323,0.7002841028133721,0.7,0.040586116196014314,2,4,5,0
default,1,>= 0.5,0.5,119323,0.3583801949330808,0.35,2.3943414094516693,2,4,5,0
default,2,>= 0.6,0.6,119323,0.10312345482430042,0.1,3.1234548243004174,2,4,5,0
default,3,>= 0.8,0.8,119323,0.050836804304283334,0.05,1.6736086085666624,2,4,5,0
raw,0,>= 0.2,0.2,119323,0.004039455930541471,0.7,-99.4229348670655,2,4,5,0
raw,1,>= 0.5,0.5,119323,0.0005112174517905182,0.35,-99.853937870917,2,4,5,0
raw,2,>= 0.6,0.6,119323,0.00020951534909447467,0.1,-99.79048465090553,2,4,5,0
raw,3,>= 0.8,0.8,119323,3.3522455855115945e-05,0.05,-99.93295508828976,2,4,5,0
p1,0,>= 0.2,0.2,108168,0.7113379187929887,0.7,1.619702684712676,3,5,6,0
p1,1,>= 0.5,0.5,108168,0.390420457066785,0.35,11.548702019081441,3,5,6,0
p1,2,>= 0.6,0.6,108168,0.14069780341690705,0.1,40.69780341690704,3,5,6,0
p1,3,>= 0.8,0.8,108168,0.07569706382664004,0.05,51.39412765328007,3,5,6,0
p1_5,0,>= 0.2,0.2,108168,0.2554452333407292,0.7,-63.50782380846726,3,5,6,0
p1_5,1,>= 0.5,0.5,108168,0.15044190518452777,0.35,-57.01659851870635,3,5,6,0
p1_5,2,>= 0.6,0.6,108168,0.07175874565490718,0.1,-28.24125434509282,3,5,6,0
p1_5,3,>= 0.8,0.8,108168,0.047010206345684494,0.05,-5.979587308631018,3,5,6,0
p2,0,>= 0.2,0.2,108168,0.6946509133939798,0.7,-0.7641552294314545,3,5,6,0
p2,1,>= 0.5,0.5,108168,0.357804526292434,0.35,2.229864654981143,3,5,6,0
p2,2,>= 0.6,0.6,108168,0.11219584350269951,0.1,12.195843502699505,3,5,6,0
p2,3,>= 0.8,0.8,108168,0.05815952962059019,0.05,16.319059241180376,3,5,6,0
custom,0,>= 0.2,0.2,108168,0.6951131573108498,0.7,-0.698120384164312,3,5,6,0
custom,1,>= 0.5,0.5,108168,0.3459063678721988,0.35,-1.1696091793717636,3,5,6,0
custom,2,>= 0.6,0.6,108168,0.09874454552178093,0.1,-1.2554544782190784,3,5,6,0
custom,3,>= 0.8,0.8,108168,0.0479162044227498,0.05,-4.1675911545004105,3,5,6,0
default,0,>= 0.2,0.2,108168,0.6951039124325123,0.7,-0.6994410810696581,3,5,6,0
default,1,>= 0.5,0.5,108168,0.3655702240958509,0.35,4.448635455957402,3,5,6,0
default,2,>= 0.6,0.6,108168,0.1155794689741883,0.1,15.579468974188298,3,5,6,0
default,3,>= 0.8,0.8,108168,0.05897307891428149,0.05,17.946157828562974,3,5,6,0
raw,0,>= 0.2,0.2,108168,0.004825826492123364,0.7,-99.31059621541095,3,5,6,0
raw,1,>= 0.5,0.5,108168,0.0005177131868944605,0.35,-99.85208194660157,3,5,6,0
raw,2,>= 0.6,0.6,108168,0.00029583610679683456,0.1,-99.70416389320317,3,5,6,0
raw,3,>= 0.8,0.8,108168,2.773463501220324e-05,0.05,-99.94453072997558,3,5,6,0
p1,0,>= 0.2,0.2,96843,0.6612042171349504,0.7,-5.542254695007085,4,6,7,0
p1,1,>= 0.5,0.5,96843,0.34920438235081525,0.35,-0.22731932833849494,4,6,7,0
p1,2,>= 0.6,0.6,96843,0.1223939778817261,0.1,22.39397788172609,4,6,7,0
p1,3,>= 0.8,0.8,96843,0.06574558822010884,0.05,31.49117644021768,4,6,7,0
p1_5,0,>= 0.2,0.2,96843,0.19393244736325807,0.7,-72.2953646623917,4,6,7,0
p1_5,1,>= 0.5,0.5,96843,0.11170657662402032,0.35,-68.0838352502799,4,6,7,0
p1_5,2,>= 0.6,0.6,96843,0.05101039827349421,0.1,-48.989601726505796,4,6,7,0
p1_5,3,>= 0.8,0.8,96843,0.03276437119874436,0.05,-34.47125760251128,4,6,7,0
p2,0,>= 0.2,0.2,96843,0.6026764970106254,0.7,-13.903357569910648,4,6,7,0
p2,1,>= 0.5,0.5,96843,0.2702415249424326,0.35,-22.78813573073354,4,6,7,0
p2,2,>= 0.6,0.6,96843,0.07148683952376526,0.1,-28.513160476234738,4,6,7,0
p2,3,>= 0.8,0.8,96843,0.035067067315138936,0.05,-29.865865369722133,4,6,7,0
custom,0,>= 0.2,0.2,96843,0.5978645849467695,0.7,-14.59077357903292,4,6,7,0
custom,1,>= 0.5,0.5,96843,0.26725731338351766,0.35,-23.640767604709236,4,6,7,0
custom,2,>= 0.6,0.6,96843,0.0708053240812449,0.1,-29.194675918755102,4,6,7,0
custom,3,>= 0.8,0.8,96843,0.03374534039631156,0.05,-32.50931920737688,4,6,7,0
default,0,>= 0.2,0.2,96843,0.5968939417407556,0.7,-14.729436894177764,4,6,7,0
default,1,>= 0.5,0.5,96843,0.2832006443418729,0.35,-19.085530188036305,4,6,7,0
default,2,>= 0.6,0.6,96843,0.08278347428311804,0.1,-17.216525716881968,4,6,7,0
default,3,>= 0.8,0.8,96843,0.04132461819646231,0.05,-17.350763607075383,4,6,7,0
raw,0,>= 0.2,0.2,96843,0.0027673657362948276,0.7,-99.60466203767217,4,6,7,0
raw,1,>= 0.5,0.5,96843,0.0002581497888334727,0.35,-99.92624291747615,4,6,7,0
raw,2,>= 0.6,0.6,96843,0.00012391189864006691,0.1,-99.87608810135993,4,6,7,0
raw,3,>= 0.8,0.8,96843,2.0651983106677818e-05,0.05,-99.95869603378665,4,6,7,0
p1,0,>= 0.2,0.2,150936,0.7027548099856893,0.7,0.3935442836699047,0,2,3,1
p1,1,>= 0.5,0.5,150936,0.3941405628875815,0.35,12.611589396451858,0,2,3,1
p1,2,>= 0.6,0.6,150936,0.15217708167700217,0.1,52.17708167700216,0,2,3,1
p1,3,>= 0.8,0.8,150936,0.08926299888694546,0.05,78.52599777389091,0,2,3,1
p1_5,0,>= 0.2,0.2,150936,0.2831001219059734,0.7,-59.5571254420038,0,2,3,1
p1_5,1,>= 0.5,0.5,150936,0.18024858218052683,0.35,-48.50040509127804,0,2,3,1
p1_5,2,>= 0.6,0.6,150936,0.09540467482906663,0.1,-4.595325170933376,0,2,3,1
p1_5,3,>= 0.8,0.8,150936,0.06649175809614671,0.05,32.98351619229342,0,2,3,1
