predictor,bucket_id,bin_label,edge,n_events,alert_rate,target_alert_rate,relative_error_pct,point_idx,mapping_new_fit_month,eval_month,seed
p1,0,>= 0.2,0.2,150937,0.7148015397152454,0.7,2.1145056736064927,0,2,3,0
p1,1,>= 0.5,0.5,150937,0.4156634887403354,0.35,18.760996782952972,0,2,3,0
p1,2,>= 0.6,0.6,150937,0.15277897400902363,0.1,52.778974009023614,0,2,3,0
p1,3,>= 0.8,0.8,150937,0.0827895082054102,0.05,65.57901641082039,0,2,3,0
p1_5,0,>= 0.2,0.2,150937,0.3101757686981986,0.7,-55.68917590025735,0,2,3,0
p1_5,1,>= 0.5,0.5,150937,0.18772070466486018,0.35,-46.365512952897085,0,2,3,0
p1_5,2,>= 0.6,0.6,150937,0.08973280242750287,0.1,-10.267197572497139,0,2,3,0
p1_5,3,>= 0.8,0.8,150937,0.06011117221092244,0.05,20.222344421844866,0,2,3,0
p2,0,>= 0.2,0.2,150937,0.730695588225551,0.7,4.385084032221583,0,2,3,0
p2,1,>= 0.5,0.5,150937,0.4172800572424257,0.35,19.222873497835913,0,2,3,0
p2,2,>= 0.6,0.6,150937,0.153812517805442,0.1,53.81251780544199,0,2,3,0
p2,3,>= 0.8,0.8,150937,0.08581063622571007,0.05,71.62127245142014,0,2,3,0
custom,0,>= 0.2,0.2,150937,0.7224338631349504,0.7,3.2048375907072053,0,2,3,0
custom,1,>= 0.5,0.5,150937,0.41158894108137833,0.35,17.596840308965245,0,2,3,0
custom,2,>= 0.6,0.6,150937,0.1532824953457403,0.1,53.28249534574028,0,2,3,0
custom,3,>= 0.8,0.8,150937,0.08644003789660587,0.05,72.88007579321173,0,2,3,0
default,0,>= 0.2,0.2,150937,0.6972114193338943,0.7,-0.39836866658652226,0,2,3,0
default,1,>= 0.5,0.5,150937,0.3839350192464406,0.35,9.695719784697316,0,2,3,0
default,2,>= 0.6,0.6,150937,0.13332052445722387,0.1,33.32052445722386,0,2,3,0
default,3,>= 0.8,0.8,150937,0.07322260280779398,0.05,46.44520561558796,0,2,3,0
raw,0,>= 0.2,0.2,150937,0.00726793297865997,0.7,-98.96172386019143,0,2,3,0
raw,1,>= 0.5,0.5,150937,0.0011527988498512625,0.35,-99.6706289000425,0,2,3,0
raw,2,>= 0.6,0.6,150937,0.0006029005479107177,0.1,-99.39709945208928,0,2,3,0
raw,3,>= 0.8,0.8,150937,3.975168447762974e-05,0.05,-99.92049663104474,0,2,3,0
p1,0,>= 0.2,0.2,127691,0.7453931757132453,0.7,6.4847393876064725,1,3,4,0
p1,1,>= 0.5,0.5,127691,0.432136955619425,0.35,23.46770160555001,1,3,4,0
