predictor,bucket_id,bin_label,edge,n_events,alert_rate,target_alert_rate,relative_error_pct,point_idx,mapping_new_fit_month,eval_month,seed
p1,0,>= 0.2,0.2,156544,0.7165333708094849,0.7,2.3619101156407023,0,2,3,0
p1,1,>= 0.5,0.5,156544,0.4110984771054783,0.35,17.45670774442238,0,2,3,0
p1,2,>= 0.6,0.6,156544,0.15413557849550286,0.1,54.13557849550285,0,2,3,0
p1,3,>= 0.8,0.8,156544,0.08538813368765331,0.05,70.77626737530662,0,2,3,0
p1_5,0,>= 0.2,0.2,156544,0.2500447158626329,0.7,-64.27932630533816,0,2,3,0
p1_5,1,>= 0.5,0.5,156544,0.14614421504497138,0.35,-58.24450998715103,0,2,3,0
p1_5,2,>= 0.6,0.6,156544,0.06902212796402289,0.1,-30.97787203597711,0,2,3,0
p1_5,3,>= 0.8,0.8,156544,0.0473477105478332,0.05,-5.304578904333612,0,2,3,0
p2,0,>= 0.2,0.2,156544,0.7333082072771873,0.7,4.758315325312473,0,2,3,0
p2,1,>= 0.5,0.5,156544,0.4160363859362224,0.35,18.867538838920687,0,2,3,0
p2,2,>= 0.6,0.6,156544,0.15600086876533115,0.1,56.000868765331134,0,2,3,0
p2,3,>= 0.8,0.8,156544,0.0884863041700736,0.05,76.97260834014719,0,2,3,0
custom,0,>= 0.2,0.2,156544,0.7251379803761243,0.7,3.591140053732051,0,2,3,0
custom,1,>= 0.5,0.5,156544,0.41068325838103026,0.35,17.338073823151507,0,2,3,0
custom,2,>= 0.6,0.6,156544,0.15582200531479967,0.1,55.82200531479966,0,2,3,0
custom,3,>= 0.8,0.8,156544,0.0894892170891251,0.05,78.9784341782502,0,2,3,0
default,0,>= 0.2,0.2,156544,0.6879982624693377,0.7,-1.71453393295175,0,2,3,0
default,1,>= 0.5,0.5,156544,0.37477642068683564,0.35,7.078977339095904,0,2,3,0
default,2,>= 0.6,0.6,156544,0.13298497547015536,0.1,32.98497547015536,0,2,3,0
default,3,>= 0.8,0.8,156544,0.07424110793131644,0.05,48.48221586263288,0,2,3,0
raw,0,>= 0.2,0.2,156544,0.006368816434995912,0.7,-99.09016908071487,0,2,3,0
raw,1,>= 0.5,0.5,156544,0.0009581970564186427,0.35,-99.72622941245181,0,2,3,0
raw,2,>= 0.6,0.6,156544,0.00044077064595257566,0.1,-99.55922935404743,0,2,3,0
raw,3,>= 0.8,0.8,156544,7.665576451349142e-05,0.05,-99.84668847097302,0,2,3,0
p1,0,>= 0.2,0.2,126370,0.7453351270079924,0.7,6.476446715427496,1,3,4,0
